"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"GAM",0.0694171984358712
"2","HMEQ",1,"RE_boosting",0.0712999594965254
"3","HMEQ",1,"RE_RF",0.0732183461381281
"4","HMEQ",1,"RE_bag",0.0768618059362494
"5","HMEQ",1,"SRE_RF",0.071254313257579
"6","HMEQ",1,"SRE_bag",0.0804605336910567
"7","HMEQ",1,"SRE_boosting",0.0703625953720667
"8","HMEQ",1,"SRE_PLTR",0.0773562510909819
"9","HMEQ",2,"GAM",0.0788476778723723
"10","HMEQ",2,"RE_boosting",0.0748166418807865
"11","HMEQ",2,"RE_RF",0.0758448685746366
"12","HMEQ",2,"RE_bag",0.0816291010009351
"13","HMEQ",2,"SRE_RF",0.0738981318389288
"14","HMEQ",2,"SRE_bag",0.0827470371731933
"15","HMEQ",2,"SRE_boosting",0.0775515174330043
"16","HMEQ",2,"SRE_PLTR",0.0783020403365882
"17","HMEQ",3,"GAM",0.0726500962452334
"18","HMEQ",3,"RE_boosting",0.0711160463485818
"19","HMEQ",3,"RE_RF",0.0735225609320071
"20","HMEQ",3,"RE_bag",0.077218106770764
"21","HMEQ",3,"SRE_RF",0.074082136186254
"22","HMEQ",3,"SRE_bag",0.0807630338692447
"23","HMEQ",3,"SRE_boosting",0.0722618613987669
"24","HMEQ",3,"SRE_PLTR",0.0773413609682385
"25","HMEQ",4,"GAM",0.0745439188708788
"26","HMEQ",4,"RE_boosting",0.0714459536053444
"27","HMEQ",4,"RE_RF",0.0755269932072882
"28","HMEQ",4,"RE_bag",0.0786105338294675
"29","HMEQ",4,"SRE_RF",0.0747066278534285
"30","HMEQ",4,"SRE_bag",0.0788912353591239
"31","HMEQ",4,"SRE_boosting",0.071876147181012
"32","HMEQ",4,"SRE_PLTR",0.0746164935143241
"33","HMEQ",5,"GAM",0.0730531693518982
"34","HMEQ",5,"RE_boosting",0.0678850915252134
"35","HMEQ",5,"RE_RF",0.0742908973182208
"36","HMEQ",5,"RE_bag",0.0774149667814543
"37","HMEQ",5,"SRE_RF",0.0728650025914941
"38","HMEQ",5,"SRE_bag",0.0798034962625609
"39","HMEQ",5,"SRE_boosting",0.0710414112178828
"40","HMEQ",5,"SRE_PLTR",0.0752545493270592
"41","HMEQ",6,"GAM",0.0759967175242756
"42","HMEQ",6,"RE_boosting",0.0692258428483236
"43","HMEQ",6,"RE_RF",0.0704789466579369
"44","HMEQ",6,"RE_bag",0.0773862276205409
"45","HMEQ",6,"SRE_RF",0.0742131982750784
"46","HMEQ",6,"SRE_bag",0.0797684189403841
"47","HMEQ",6,"SRE_boosting",0.0720163191249414
"48","HMEQ",6,"SRE_PLTR",0.072635614629887
